Customer,P.O. Nbr,SO Nbr,S.O. Date,Invoices,Order Status,Order Line/Status
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Deleted
,,,,,,10 - Closed
18600 - CAT SCALE,,1039,5/15/2007,1039,Closed,1 - Deleted
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
18600 - CAT SCALE,,SC1027,5/15/2007,SC1027,Closed,1 - Closed
2111 - GLOBAL SIGNS,,1038,5/16/2007,1038,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
16900 - CAPITAL SANITARY SUPPLY,,1040,5/16/2007,1040,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,133204,61992,5/16/2007,61992,Closed,1 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,133204,61993,5/16/2007,61993,Closed,1 - Closed
12550 - BOESEN BOETTCHER CLARK INVESTM,,62011,5/16/2007,62011,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,135477,1046,5/18/2007,1046,Closed,1 - Deleted
,,,,,,2 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,135477,1047,5/18/2007,1047,Closed,1 - Deleted
,,,,,,2 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,135477,1048,5/18/2007,1048,Closed,1 - Deleted
,,,,,,2 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,135477,1049,5/18/2007,1049,Closed,1 - Deleted
,,,,,,2 - Closed
18600 - CAT SCALE,,1052,5/18/2007,1052,Closed,1 - Closed
18600 - CAT SCALE,,1053,5/18/2007,,Closed,1 - Closed
18600 - CAT SCALE,,1054,5/18/2007,1054,Closed,1 - Closed
18600 - CAT SCALE,,1055,5/18/2007,,Closed,1 - Closed
18600 - CAT SCALE,,1056,5/18/2007,,Closed,1 - Closed
2171 - BOBBI MCANINCH,,1057,5/18/2007,1057,Closed,1 - Closed
120805 - WALTERS COMPANIES/JORDAN CREEK,,1093,5/18/2007,1093,Closed,1 - Closed
,,,,,,2 - Closed
69850 - MAID-RITE COMPANY,E-0011059 & E-0011060,62150,5/18/2007,62150,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Deleted
2168 - FARM BUREAU FINANCIAL SERVICES,,62182,5/18/2007,62182,Closed,1 - Closed
