"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"203-0170","3"" X 1-3/4"" X 1/8"" ALUM ANGLE - 25'","FALUM","","P","A","","0","FT","5.25000","1.73610"
"203-0180","3"" X 2"" X 3/16"" ALUM ANGLE - 25'","FALUM","","P","A","","0","FT","2.66000","1.52530"
"203-0190","3"" X 2"" X 1/4"" ALUM ANGLE - 25'","FALUM","","P","A","","0","FT","3.43000","1.96000"
"203-0200","3-1/2"" X 2-1/2"" X 1/4"" ALUM ANGLE - 25'","FALUM","","P","A","","0","FT","6.76000","3.86400"
"203-0210","3"" X 3"" X 1/4"" ALUM ANGLE - 25'","FALUM","","P","A","","75","FT","5.43900","3.10800"
"203-0215","3"" X 4"" X 1/4"" ALUM ANGLE - 25'","FALUM","","P","A","","0","FT","12.77500","7.30000"
"203-0220","1-3/4"" X 4"" ALUM CHANNEL - 25'","FALUM","","P","A","","0","FT","6.02000","3.44000"
"203-0230","2"" X 1-1/2"" X 1/8"" ALUM CHANNEL - 25'","FALUM","","P","A","","0","FT","2.09000","1.19390"
"203-0240","6"" X 1.945"" X .225"" ALUM CHANNEL - 25'","FALUM","","P","A","","0","FT","9.48000","5.41770"
"203-0250","2' ALUMINUM CROSS TEES","FALUM","","P","A","","0","EA","2.70000","1.53700"
"203-0255","1/4"" SQUARE ALUMINUM ROD","FALUM","","P","A","","0","EA","0.15313","0.08750"
"203-0260","3/8"" ROUND ALUM ROD - 12'","FALUM","","P","A","","0","FT","0.82000","0.46670"
"203-0270","1/4"" SQUARE ALUM BAR - 12'","FALUM","","P","A","","0","FT","3.74500","0.33250"
"203-0280","1"" SQUARE ALUM BAR - 12'","FALUM","","P","A","","0","FT","4.66000","2.66000"
"203-0290","3/4"" X 3/4"" X 1/16"" ALUM TUBE - 21'-1""","FALUM","","P","A","","0","FT","0.76000","0.43000"
"203-0291","3/4"" X 3/4"" X 1/16"" ALUM TUBE - 24'","FALUM","","P","A","","0","FT","0.75250","0.43000"
"203-0295","3/4"" X 3/4"" X .062"" ALUMINUM TUBE - 15'-1""","FALUM","","P","A","","0","FT","0.82250","0.47000"
"203-0297","3/4"" X 3/4"" X .125"" ALUMINUM TUBE","FALUM","","P","A","","0","LF","2.16083","1.23476"
"203-0298","3/4"" X 1.5"" x .125"" rectangle ALUM TUBE - 21'-1""","FALUM","","P","A","20","0","FT","8.25195","4.71540"
"203-0300","1"" X 1"" X .062"" ALUM TUBE - 21'-1""","FALUM","","P","A","","0","FT","1.12000","0.69140"
"203-0301","1"" X 1"" X .062"" ALUM TUBE","FALUM","","P","A","","0","LF","1.16520","0.66583"
"203-0310","1"" X 1"" X 1/8"" ALUM TUBE","FALUM","","P","A","","2,540","LF","4.17162","1.86295"
"203-0311","1 X 1 X .125 ALUM SQ TUBE 24'","FALUM","","P","A","","0","FT","1.78850","1.02200"
"203-0320","1-1/4"" X 1-1/4"" X 1/8"" ALUM TUBE  21'1""","FALUM","","P","A","","63","FT","3.68583","2.10619"
"203-0330","1-1/2"" X 1-1/2"" X 1/8"" ALUM TUBE  21'1""","FALUM","","P","A","","165","FT","10.49650","5.99800"
"203-0340","2"" X 1"" X 1/8"" ALUM TUBE","FALUM","","P","A","","0","FT","4.12015","2.35437"
"203-0350","2"" X 1-1/2"" X 1/8"" ALUM TUBE - 21'-1""","FALUM","","P","A","","0","FT","2.47000","1.41330"
"203-0360","2"" X 2"" X 1/8"" ALUM TUBE","FALUM","","P","A","","1,550","LF","8.54067","3.66000"
"203-0365","2"" X 3"" X 1/8"" ALUMINUM TUBE - 21' 1""","FALUM","","P","A","","35","FT","9.05583","5.17476"
"203-0370","2"" X 2"" X 3/16"" ALUM TUBE - 21'-1""","FALUM","","P","O","","0","FT","2.88000","1.19470"
"203-0375","2"" X 2"" X 1/4"" ALUMINUM TUBE - 25'","FALUM","","P","A","","13","LF","8.28013","4.73150"
"203-0380","2-1/2"" X 2-1/2"" X 1/8"" ALUM TUBE 21'1""","FALUM","","P","A","","0","FT","8.83750","5.05000"
"203-0390","2"" X 4"" X 1/8"" ALUM TUBE  21'1""","FALUM","","P","A","","0","FT","6.15000","4.24120"
"203-0400","3"" X 1-3/4"" X 3/16"" ALUM TUBE - 21'-1""","FALUM","","P","A","","0","FT","5.25000","1.81970"
