"06 NOV 2025","16:26:52","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/17 through 10/31/18",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"8707","06/13/18","MISC","2906","AMERICAN MARKING","71.07","31.52","39.55","55.65","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8708","06/12/18","MISC","77950","NAGLE SIGNS  INC.","75.00","58.64","16.36","21.81","89.00","HOUSE","","","","","","144","BURGER KING","DES MOINES","IA",
"8730","06/25/18","MISC","2906","AMERICAN MARKING","49.50","24.61","24.89","50.28","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8740","07/10/18","MISC","77950","NAGLE SIGNS  INC.","215.43","149.36","66.07","30.67","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8760","07/18/18","MISC","77950","NAGLE SIGNS  INC.","225.00","191.71","33.29","14.80","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8764","09/28/18","MISC","4779","EAGLE SIGN CO.","0.00","139.20","-139.20","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"8779","09/14/18","MISC","5335","DON ROTHWEILER","150.69","161.56","-10.87","-7.21","","HOUSE","","","","","","DEFAULT","DON ROTHWEILER","ANKENY","IA",
"8780","09/21/18","MISC","5341","ERIC KNAPP","0.00","86.19","-86.19","","","HOUSE","","","","","","DEFAULT","ERIC KNAPP","DES MOINES","IA",
"8785","10/11/18","MISC","77950","NAGLE SIGNS  INC.","3695.29","2746.62","948.67","25.67","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8801","08/17/18","MISC","77950","NAGLE SIGNS  INC.","98.30","89.39","8.91","9.06","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8803","09/30/18","MISC","77950","NAGLE SIGNS  INC.","937.30","689.45","247.85","26.44","","HOUSE","","","","","","187","TACO JOHN´S - NAGLE SIGNS","ALTOONA","IA",
"8814","09/11/18","MISC","4779","EAGLE SIGN CO.","0.00","102.98","-102.98","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"8846","09/21/18","MISC","77950","NAGLE SIGNS  INC.","82.93","79.15","3.78","4.56","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8861","09/30/18","MISC","2906","AMERICAN MARKING","82.50","36.19","46.31","56.13","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"SC5191","02/02/18","MISC","5225","MARK NESET","100.00","0.00","100.00","100.00","","HOUSE","","","","","","DEFAULT","MARK NESET","HARTFORD","IA",
"","","MISC","","Product Totals","28429.52","19953.02","8476.50","29.82","242.23","HOUSE",

"8576","03/19/18","NEON","77950","NAGLE SIGNS  INC.","16.35","13.07","3.28","20.06","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","NEON","","Product Totals","16.35","13.07","3.28","20.06","0.00","HOUSE",

"8353","11/08/17","PRMT","77950","NAGLE SIGNS  INC.","50.00","19.55","30.45","60.90","75.00","HOUSE","","","","","","170","AQUA LIVING STORE- NAGLE SIGNS","URBANDALE","IA",
"8382","11/16/17","PRMT","77950","NAGLE SIGNS  INC.","50.00","19.55","30.45","60.90","85.00","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8389","12/01/17","PRMT","77950","NAGLE SIGNS  INC.","125.00","97.71","27.29","21.83","107.00","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8422","12/05/17","PRMT","77950","NAGLE SIGNS  INC.","75.00","58.64","16.36","21.81","110.34","HOUSE","","","","","","116","KUM & GO - NAGLE SIGNS","WEST DES MOINES","IA",
"8574","03/21/18","PRMT","77950","NAGLE SIGNS  INC.","0.00","0.00","0.00","","109.00","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","PRMT","","Product Totals","300.00","195.45","104.55","34.85","486.34","HOUSE",

"8459","01/17/18","SRVCE","77950","NAGLE SIGNS  INC.","60.00","41.04","18.96","31.60","","HOUSE","","","","","","65","KUM & GO","ADEL","IA",
"8623","04/11/18","SRVCE","77950","NAGLE SIGNS  INC.","330.00","267.41","62.59","18.97","","HOUSE","","","","","","10","KUM & GO","DESOTO","IA",
"SC5145","12/05/17","SRVCE","77950","NAGLE SIGNS  INC.","60.00","25.74","34.26","57.10","","HOUSE","","","","","","149","FLOWERAMA-NAGLE SIGNS","DES MOINES","IA",
"SC5146","12/05/17","SRVCE","77950","NAGLE SIGNS  INC.","418.48","284.60","133.88","31.99","","HOUSE","","","","","","68","COMMUNITY 1ST. CREDIT UNION- NAGLE SIGNS","INDIANOLA","IA",
"SC5152","12/08/17","SRVCE","77950","NAGLE SIGNS  INC.","240.00","179.07","60.93","25.39","","HOUSE","","","","","","171","COST PLUS WORLD MARKET- NAGLE SIGNS","WEST DES MOINES","IA",
"SC5156","12/12/17","SRVCE","77950","NAGLE SIGNS  INC.","60.00","21.00","39.00","65.00","","HOUSE","","","","","","162","KUM & GO #184 - NAGLE SIGNS","ALTOONA","IA",
"SC5163","01/11/18","SRVCE","2475","MAIN ENTERPRISES","225.00","198.80","26.20","11.64","","HOUSE","","","","","","2","MASSAGE HEIGHTS","JOHNSTON","IA",
"SC5164","12/22/17","SRVCE","77950","NAGLE SIGNS  INC.","120.00","81.88","38.12","31.77","","HOUSE","","","","","","68","COMMUNITY 1ST. CREDIT UNION- NAGLE SIGNS","INDIANOLA","IA",
"SC5165","01/10/18","SRVCE","4708","SCHEELS ALL SPORTS","838.49","484.73","353.76","42.19","","HOUSE","","","","","","DEFAULT","SCHEELS ALL SPORTS","WEST DES MOINES","IA",
"SC5181","02/04/18","SRVCE","77950","NAGLE SIGNS  INC.","542.71","440.54","102.17","18.83","","HOUSE","","","","","","172","HARDEES- NAGLE SIGNS","ANKENY","IA",
"SC5183","01/08/18","SRVCE","77950","NAGLE SIGNS  INC.","105.00","71.74","33.26","31.68","","HOUSE","","","","","","68","COMMUNITY 1ST. CREDIT UNION- NAGLE SIGNS","INDIANOLA","IA",
"SC5184","01/05/18","SRVCE","5224","US BANK","75.00","64.35","10.65","14.20","","HOUSE","","","","","","DEFAULT","US BANK","AMES","IA",
"SC5185","01/08/18","SRVCE","77950","NAGLE SIGNS  INC.","180.00","124.44","55.56","30.87","","HOUSE","","","","","","63","KUM & GO # 66","WEST DES MOINES","IA",
"SC5186","01/08/18","SRVCE","4887","ANGLO GROUP","517.10","219.61","297.49","57.53","8.00","HOUSE","","","","","","DEFAULT","ANGLO GROUP","CLIVE","IA",
"SC5187","01/19/18","SRVCE","2885","BOB BROWN BUICK GMC","170.00","51.42","118.58","69.75","","HOUSE","","","","","","DEFAULT","BOB BROWN","ANKENY","IA",
"SC5191","02/02/18","SRVCE","5225","MARK NESET","180.24","155.53","24.71","13.71","","HOUSE","","","","","","DEFAULT","MARK NESET","HARTFORD","IA",
"SC5192","01/20/18","SRVCE","4759","GRAND 1350 LLC","1065.73","520.22","545.51","51.19","18.00","HOUSE","","","","","","DEFAULT","NORTH GRAND MALL","AMES","IA",
"SC5194","01/11/18","SRVCE","5210","TOP NAILS & SPA","37.50","20.74","16.76","44.69","","HOUSE","","","","","","DEFAULT","TOP NAILS & SPA","URBANDALE","IA",
