Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
214-0492,"1/4"" x 3/4"" THMS Phillips",HRDWRE,EA,EA,414,0.0315,0.05513,0.0315,0,0,0.0248,0.0315
214-0500,1/4 X 3 BOLT,HRDWRE,EA,EA,28,0.0942,0.2,0.0942,0.0942,0,0.0942,0.005
214-0570,5/16 X 1 BOLT,HRDWRE,EA,EA,1634,0.0202,0.04,0.0202,0.0202,0,0.045,0.0049
214-0620,3/8 X 1 HEX BOLT,HRDWRE,EA,EA,701,0.10226,0.17896,0.1023,0.0519,0,0.108,0.101
214-0630,3/8 X 1-1/2 HEX BOLT,HRDWRE,EA,EA,24,0.0496,0.11,0.0496,0.0496,0,0,0
214-0710,3/8 X 4-1/2 CARRIAGE BLT,HRDWRE,EA,EA,-24,1.05,1.8375,1.05,0,0,0,0
214-0760,1/2 X 1 HEX BOLT,HRDWRE,EA,EA,70,0.14,0.245,0.14,0.0672,0,0.14,0.1399
214-0765,"1/2"" x 1 1/4"" x 13 HHMS",HRDWRE,EA,EA,1204,0.22939,0.40143,0.2294,0.2642,0,0.2384,0.2291
214-0830,1/2 X 3-1/2 BOLT,HRDWRE,EA,EA,4,1.65,1.6,1.65,1.65,0,1.65,1.65
214-0910,5/8 X 2 BOLT,HRDWRE,EA,EA,167,0.33,0.5775,0.33,0.2021,0,0.33,0.33
214-0911,"5/8""-11 x 2"" A325 bolt",HRDWRE,EA,EA,488,0.6239,1.09183,0.6239,0,0,0.647,0.6183
214-1012,3/4 X 1 3/4 BOLT,HRDWRE,EA,EA,97,,,0,0,0,0,0
214-1015,"3/4"" x 2"" x 10 HHMS",HRDWRE,EA,EA,-4,0.952,,0.952,0.952,0,0,0
214-1160,7/8 X 2-1/2 BOLT GRADE 5,HRDWRE,EA,EA,11,1.48,2.59,1.48,1.4775,0,1.48,1.4799
214-1690,1/4 X 3 EYE BOLT,HRDWRE,EA,EA,1,0.785,1.37,0.785,0.785,0,0,0
214-1700,1/4 X 4 EYE BOLT,HRDWRE,EA,EA,2,0.365,0.74,0.365,0.365,0,0,0
214-1710,5/16 X 5 EYE BOLTS,HRDWRE,EA,EA,2,0.59,2.15,0.59,0.59,0,0,0
