Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,Qty On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
406-0480,403-W WHITE/WHITE LACRYL,PAINT,OZ,GL,0,0.39424,0.68992,0.3942,0.3942,0,0,0
406-0490,406-W SUPER WHITE/WHITE LACRYL,PAINT,OZ,GL,0,0.25195,0.44091,0.252,0.252,0,0,0
406-0500,412-Y BUTTER CUP YELLOW LACRYL,PAINT,OZ,GL,0,0.28914,0.506,0.2891,0.2891,0,0,0
406-0510,413-Y YELLOW LACRYL,PAINT,OZ,GL,0,0.26953,0.47168,0.2695,0.2695,0,0,0
406-0520,415-Y LEMON YELLOW LACRYL,PAINT,OZ,GL,0,0.28297,0.4952,0.283,0.283,0,0,0
406-0530,416-Y LEMON LEAD-FREE YELLOW,PAINT,OZ,GL,0,0.41504,0.72632,0.415,0.415,0,0,0
406-0540,L5-6289 DAFFODIL LEAD FREE,PAINT,OZ,GL,0,0.49367,0.86392,0.4937,0.4937,0,0,0
407-0100,DENATURED ALCOHOL,PAINT,OZ,GL,0,0.11911,0.20844,0.1191,0.1191,0,0,0
407-0110,225S ALUMINUM CLEANER,PAINT,OZ,GL,-128,0.59094,1.03415,0.5909,0.3858,0,0.5033,0.5909
407-0111,S-375 aluminum cleaner,PAINT,OZ,GL,-627,0.0867,0.15173,0.0867,0,0,0.09,0.0867
407-0120,226S ALUMINUM ETCH,PAINT,OZ,GL,0,0.38578,0.67512,0.3858,0.3858,0,0.4581,0.3858
407-0130,3M ALL PURPOSE CLEANER,PAINT,OZ,GL,0,0.18631,0.32604,0.1863,0.1863,0,0,0
407-0140,BRILLITE PREPAINT PLASTIC CLNR,PAINT,OZ,GL,0,0.17461,0.30557,0.1746,0.1746,0,0,0
407-0150,PREP SOLVENT #3919S,PAINT,OZ,GL,0,0.14508,0.25389,0.1451,0.1451,0,0,0
407-0160,45-330 CLEANER,PAINT,OZ,GL,0,0.14109,0.24691,0.1411,0.1411,0,0,0
407-0170,GREEN PANTHER CLEANER 0301G,PAINT,OZ,GL,0,0.07348,0.12859,0.0735,0.0735,0,0,0
407-0180,DRYWALL COMPOUND,PAINT,OZ,GL,0,0.03328,0.05824,0.0333,0.0333,0,0,0
407-0190,OIL & GREASE EMULSIFIER,PAINT,OZ,GL,0,0.20586,0.36026,0.2059,0.2059,0,0,0
407-0200,MULI PURPOSE FLATTENER,PAINT,OZ,GL,0,0.5275,0.92313,0.5275,0.5275,0,0,0
407-0210,274-686 MATTHEWS HARDENER,PAINT,OZ,QT,0,0.635,1.11125,0.635,0.635,0,0,0
407-0220,JD-40 JAPAN DRIER,PAINT,OZ,PT,0,0.19227,0.33647,0.1923,0.1923,0,0.1719,0.1822
407-0230,47-888 FLATTNER PASTE,PAINT,OZ,GL,0,0.27844,0.48727,0.2784,0.2784,0,0,0
407-0240,KILZ II LATEX SEALER,PAINT,OZ,GL,0,0.11713,0.20498,0.1171,0.1171,0,0,0
